District,Sub.County,Confirmed.Cases,Confirmed.Deaths,Recoveries,Probable.Deaths,Probable.Cases,SitRep,Date,Date_Entered,Collector,DISTRICT,COUNTY,SUBCOUNTY
Bunyangabu,Rwimi TC,1,0,NA,NA,0,38,2022-10-30,2022-11-1,SVS,BUNYANGABU,BUNYANGABU,RWIMI
Kagadi,Kagadi TC,1,1,NA,NA,0,38,2022-10-30,2022-11-1,SVS,KAGADI,BUYAGA,KAGADI
NA,Kawempe,2,0,NA,NA,0,38,2022-10-30,2022-11-1,SVS,KAMPALA,KCCA,KAWEMPE DIVISION
Kampala,Makindye,1,0,NA,NA,0,38,2022-10-30,2022-11-1,SVS,KAMPALA,KCCA,MAKINDYE DIVISION
NA,Rubaga,14,1,NA,NA,0,38,2022-10-30,2022-11-1,SVS,KAMPALA,KCCA,RUBAGA DIVISION
NA,Gomba,1,1,NA,NA,0,38,2022-10-30,2022-11-1,SVS,GOMBA,GOMBA,NA
NA,Kalwana,25,1,NA,NA,0,38,2022-10-30,2022-11-1,SVS,KASSANDA,KASSANDA,KALWANA
Kassanda,Kassanda,5,0,NA,NA,2,38,2022-10-30,2022-11-1,SVS,KASSANDA,KASSANDA,KASSANDA
NA,Kiganda,3,0,NA,NA,0,38,2022-10-30,2022-11-1,SVS,KASSANDA,KASSANDA,KIGANDA
NA,Kikandwa,5,2,NA,NA,0,38,2022-10-30,2022-11-1,SVS,MITYANA,MITYANA,KIKANDWA
Kyegegwa,Kasule,4,1,NA,NA,0,38,2022-10-30,2022-11-1,SVS,KYEGEGWA,KYAKA,KASULE
NA,Bagezza,2,2,NA,NA,0,38,2022-10-30,2022-11-1,SVS,MUBENDE,KASAMBYA,BAGEZZA
NA,Butologo,1,1,NA,NA,0,38,2022-10-30,2022-11-1,SVS,MUBENDE,BUWEKULA,BUTOLOOGO
Eastern,Eastern,9,1,NA,NA,0,38,2022-10-30,2022-11-1,SVS,MUBENDE,MUBENDE MUNICIPALITY,EASTERN DIVISION
Southern,Southern,7,3,NA,NA,1,38,2022-10-30,2022-11-1,SVS,MUBENDE,MUBENDE MUNICIPALITY,SOUTHERN DIVISION
Western,Western,3,1,NA,NA,0,38,2022-10-30,2022-11-1,SVS,MUBENDE,MUBENDE MUNICIPALITY,WESTERN DIVISION
NA,Kasambya,5,1,NA,NA,0,38,2022-10-30,2022-11-1,SVS,MUBENDE,KASAMBYA,KASAMBYA
Mubende,Kiruuma,10,4,NA,NA,5,38,2022-10-30,2022-11-1,SVS,MUBENDE,NA,KIRUUMA
NA,Kirwanyi,2,0,NA,NA,0,38,2022-10-30,2022-11-1,SVS,MUBENDE,NA,KIRWANYI
NA,Kiyuni,3,3,NA,NA,0,38,2022-10-30,2022-11-1,SVS,MUBENDE,BUWEKULA,KIYUNI
NA,Madudu,21,10,NA,NA,13,38,2022-10-30,2022-11-1,SVS,MUBENDE,BUWEKULA,MADUDU
NA,Kibalinga,1,1,NA,NA,0,38,2022-10-30,2022-11-1,SVS,MUBENDE,KASAMBYA,KIBALINGA
NA,Kitenga,1,0,NA,NA,0,38,2022-10-30,2022-11-1,SVS,MUBENDE,BUWEKULA,KITENGA
NA,Busiro,1,0,NA,NA,0,38,2022-10-30,2022-11-1,SVS,WAKISO,BUSIRO,NA
Wakiso,Nansana,1,0,NA,NA,0,38,2022-10-30,2022-11-1,SVS,WAKISO,NANSANA MUNICIPALITY,NANSANA DIVISION
