District,Sub.County,Confirmed.Cases,Confirmed.Deaths,Recoveries,Probable.Deaths,Probable.Cases,SitRep,Date,Date_Entered,Collector,DISTRICT,COUNTY,SUBCOUNTY
Bunyangabu,Rwimi TC,01,00,00,NA,01,42,2022-11-02,2022-11-04 14:31:46,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022,BUNYANGABU,BUNYANGABU,RWIMI
Kagadi,Kagadi TC,01,01,00,NA,00,42,2022-11-02,2022-11-04 14:31:46,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022,KAGADI,BUYAGA,KAGADI
NA,Kawempe,02,00,00,NA,00,42,2022-11-02,2022-11-04 14:31:46,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022,KAMPALA,KCCA,KAWEMPE DIVISION
Kampala,Makindye,01,00,00,NA,01,42,2022-11-02,2022-11-04 14:31:46,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022,KAMPALA,KCCA,MAKINDYE DIVISION
NA,Rubaga,15,03,00,NA,06,42,2022-11-02,2022-11-04 14:31:46,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022,KAMPALA,KCCA,RUBAGA DIVISION
NA,Gomba,01,01,00,NA,00,42,2022-11-02,2022-11-04 14:31:46,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022,GOMBA,GOMBA,NA
NA,Kalwana,25,10,00,NA,08,42,2022-11-02,2022-11-04 14:31:46,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022,KASSANDA,KASSANDA,KALWANA
Kassanda,Kassanda,05,00,02,NA,02,42,2022-11-02,2022-11-04 14:31:46,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022,KASSANDA,KASSANDA,KASSANDA
NA,Kiganda,03,00,00,NA,01,42,2022-11-02,2022-11-04 14:31:46,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022,KASSANDA,KASSANDA,KIGANDA
NA,Kikandwa,06,04,00,NA,00,42,2022-11-02,2022-11-04 14:31:46,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022,MITYANA,MITYANA,KIKANDWA
Kyegegwa,Kasule,04,01,00,NA,03,42,2022-11-02,2022-11-04 14:31:46,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022,KYEGEGWA,KYAKA,KASULE
NA,Bagezza,02,02,00,NA,00,42,2022-11-02,2022-11-04 14:31:46,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022,MUBENDE,KASAMBYA,BAGEZZA
NA,Butologo,01,01,00,NA,00,42,2022-11-02,2022-11-04 14:31:46,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022,MUBENDE,BUWEKULA,BUTOLOOGO
Eastern,Eastern,09,01,00,NA,06,42,2022-11-02,2022-11-04 14:31:46,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022,MUBENDE,MUBENDE MUNICIPALITY,EASTERN DIVISION
Southern,Southern,07,03,01,NA,04,42,2022-11-02,2022-11-04 14:31:46,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022,MUBENDE,MUBENDE MUNICIPALITY,SOUTHERN DIVISION
Western,Western,03,01,00,NA,02,42,2022-11-02,2022-11-04 14:31:46,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022,MUBENDE,MUBENDE MUNICIPALITY,WESTERN DIVISION
NA,Kasambya,05,02,00,NA,02,42,2022-11-02,2022-11-04 14:31:46,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022,MUBENDE,KASAMBYA,KASAMBYA
NA,Kiruuma,10,04,05,NA,06,42,2022-11-02,2022-11-04 14:31:46,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022,MUBENDE,NA,KIRUUMA
NA,Kirwanyi,02,00,00,NA,00,42,2022-11-02,2022-11-04 14:31:46,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022,MUBENDE,NA,KIRWANYI
NA,Kiyuni,03,03,00,NA,00,42,2022-11-02,2022-11-04 14:31:46,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022,MUBENDE,BUWEKULA,KIYUNI
NA,Madudu,21,10,13,NA,11,42,2022-11-02,2022-11-04 14:31:46,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022,MUBENDE,BUWEKULA,MADUDU
NA,Kibalinga,01,01,00,NA,00,42,2022-11-02,2022-11-04 14:31:46,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022,MUBENDE,KASAMBYA,KIBALINGA
NA,Kitenga,01,00,00,NA,01,42,2022-11-02,2022-11-04 14:31:46,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022,MUBENDE,BUWEKULA,KITENGA
NA,Busiro,01,00,00,NA,00,42,2022-11-02,2022-11-04 14:31:46,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022,WAKISO,BUSIRO,NA
NA,Nansana,01,00,00,NA,00,42,2022-11-02,2022-11-04 14:31:46,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022,WAKISO,NANSANA MUNICIPALITY,NANSANA DIVISION
