District,Sub-County,Confirmed Cases,Confirmed Deaths,Recoveries,Probable Deaths,Probable Cases,SitRep,Date,Date_Entered,Collector
Mubende,,3,0,NA,0,NA,31,2022-10-21,2022-10-27,SVS
Mubende,Madudu,20,7,NA,13,NA,31,2022-10-21,2022-10-27,SVS
Mubende,Eastern,7,1,NA,0,NA,31,2022-10-21,2022-10-27,SVS
Mubende,Southern,7,3,NA,0,NA,31,2022-10-21,2022-10-27,SVS
Mubende,Bayeza,2,2,NA,1,NA,31,2022-10-21,2022-10-27,SVS
Mubende,Western,2,1,NA,0,NA,31,2022-10-21,2022-10-27,SVS
Mubende,Kasambya,3,1,NA,0,NA,31,2022-10-21,2022-10-27,SVS
Mubende,Kibalinga,1,1,NA,0,NA,31,2022-10-21,2022-10-27,SVS
Mubende,Kiruuma,8,3,NA,5,NA,31,2022-10-21,2022-10-27,SVS
Mubende,Kitenga,1,0,NA,0,NA,31,2022-10-21,2022-10-27,SVS
Mubende,Butologo,1,1,NA,0,NA,31,2022-10-21,2022-10-27,SVS
Mubende,Kiyuni,3,3,NA,0,NA,31,2022-10-21,2022-10-27,SVS
Kyegegwa,Kasule,3,1,NA,0,NA,31,2022-10-21,2022-10-27,SVS
Kassanda,Kassanda,1,1,NA,1,NA,31,2022-10-21,2022-10-27,SVS
Kassanda,Kiganda,1,1,NA,0,NA,31,2022-10-21,2022-10-27,SVS
Kassanda,Kalwana,4,0,NA,0,NA,31,2022-10-21,2022-10-27,SVS
Kagadi,Kagadi TC,1,1,NA,0,NA,31,2022-10-21,2022-10-27,SVS
Bunyangabu,Rwimi TC,1,0,NA,0,NA,31,2022-10-21,2022-10-27,SVS
Kampala,,3,0,NA,0,NA,31,2022-10-21,2022-10-27,SVS
