District,Sub-County,Confirmed Cases,Confirmed Deaths,Recoveries,Probable Deaths,Probable Cases,SitRep,Date,Date_Entered,Collector,DISTRICT,COUNTY,SUBCOUNTY
Mubende,,4,0,NA,0,NA,32,2022-10-22,2022-10-27,SVS,MUBENDE,,
Mubende,Madudu,20,7,NA,13,NA,32,2022-10-22,2022-10-27,SVS,MUBENDE,BUWEKULA,MADUDU
Mubende,Eastern,7,1,NA,0,NA,32,2022-10-22,2022-10-27,SVS,MUBENDE,MUBENDE MUNICIPALITY,EASTERN DIVISION
Mubende,Southern,7,3,NA,0,NA,32,2022-10-22,2022-10-27,SVS,MUBENDE,MUBENDE MUNICIPALITY,SOUTHERN DIVISION
Mubende,Bayeza,2,2,NA,1,NA,32,2022-10-22,2022-10-27,SVS,MUBENDE,KASAMBYA,BAGEZZA
Mubende,Western,2,1,NA,0,NA,32,2022-10-22,2022-10-27,SVS,MUBENDE,MUBENDE MUNICIPALITY,WESTERN DIVISION
Mubende,Kasambya,3,1,NA,0,NA,32,2022-10-22,2022-10-27,SVS,MUBENDE,KASAMBYA,KASAMBYA
Mubende,Kibalinga,1,1,NA,0,NA,32,2022-10-22,2022-10-27,SVS,MUBENDE,KASAMBYA,KIBALINGA
Mubende,Kiruuma,8,3,NA,5,NA,32,2022-10-22,2022-10-27,SVS,MUBENDE,NA,KIRUUMA
Mubende,Kitenga,1,0,NA,0,NA,32,2022-10-22,2022-10-27,SVS,MUBENDE,BUWEKULA,KITENGA
Mubende,Butologo,1,1,NA,0,NA,32,2022-10-22,2022-10-27,SVS,MUBENDE,BUWEKULA,BUTOLOOGO
Mubende,Kiyuni,3,3,NA,0,NA,32,2022-10-22,2022-10-27,SVS,MUBENDE,BUWEKULA,KIYUNI
Kyegegwa,Kasule,3,1,NA,0,NA,32,2022-10-22,2022-10-27,SVS,KYEGEGWA,KYAKA,KASULE
Kassanda,Kassanda,1,1,NA,1,NA,32,2022-10-22,2022-10-27,SVS,KASSANDA,KASSANDA,KASSANDA
Kassanda,Kiganda,1,1,NA,0,NA,32,2022-10-22,2022-10-27,SVS,KASSANDA,KASSANDA,KIGANDA
Kassanda,Kalwana,4,0,NA,0,NA,32,2022-10-22,2022-10-27,SVS,KASSANDA,KASSANDA,KALWANA
Kagadi,Kagadi TC,1,1,NA,0,NA,32,2022-10-22,2022-10-27,SVS,KAGADI,BUYAGA,KAGADI
Bunyangabu,Rwimi TC,1,0,NA,0,NA,32,2022-10-22,2022-10-27,SVS,BUNYANGABU,BUNYANGABU,RWIMI
Kampala,,5,0,NA,0,NA,32,2022-10-22,2022-10-27,SVS,KAMPALA,,
Wakiso,,1,0,NA,0,NA,32,2022-10-22,2022-10-27,SVS,WAKISO,,
Wakiso,Entebbe,1,1,NA,0,NA,32,2022-10-22,2022-10-27,SVS,WAKISO,ENTEBBE,
