District,Sub.County,Confirmed.Cases,Confirmed.Deaths,Recoveries,Probable.Deaths,Probable.Cases,SitRep,Date,Date_Entered,Collector,DISTRICT,COUNTY,SUBCOUNTY
Bunyangabu,Rwimi TC,1,0,0,1,NA,44,2022-11-05,2022-11-07,SVS,BUNYANGABU,BUNYANGABU,RWIMI
Kagadi,Kagadi TC,1,1,0,0,NA,44,2022-11-05,2022-11-07,SVS,KAGADI,BUYAGA,KAGADI
NA,Kawempe,2,0,0,0,NA,44,2022-11-05,2022-11-07,SVS,KAMPALA,KCCA,KAWEMPE DIVISION
Kampala,Makindye,1,0,0,1,NA,44,2022-11-05,2022-11-07,SVS,KAMPALA,KCCA,MAKINDYE DIVISION
NA,Rubaga,15,3,0,9,NA,44,2022-11-05,2022-11-07,SVS,KAMPALA,KCCA,RUBAGA DIVISION
NA,Gomba,1,1,0,0,NA,44,2022-11-05,2022-11-07,SVS,GOMBA,GOMBA,NA
NA,Kalwana,25,11,0,10,NA,44,2022-11-05,2022-11-07,SVS,KASSANDA,KASSANDA,KALWANA
Kassanda,Kassanda,5,0,2,2,NA,44,2022-11-05,2022-11-07,SVS,KASSANDA,KASSANDA,KASSANDA
NA,Kiganda,3,0,0,1,NA,44,2022-11-05,2022-11-07,SVS,KASSANDA,KASSANDA,KIGANDA
NA,Kikandwa,6,4,0,0,NA,44,2022-11-05,2022-11-07,SVS,MITYANA,MITYANA,KIKANDWA
Kyegegwa,Kasule,4,1,0,3,NA,44,2022-11-05,2022-11-07,SVS,KYEGEGWA,KYAKA,KASULE
NA,Bagezza,2,2,0,0,NA,44,2022-11-05,2022-11-07,SVS,MUBENDE,KASAMBYA,BAGEZZA
NA,Butologo,1,1,0,0,NA,44,2022-11-05,2022-11-07,SVS,MUBENDE,BUWEKULA,BUTOLOOGO
Eastern,Eastern,9,1,0,6,NA,44,2022-11-05,2022-11-07,SVS,MUBENDE,MUBENDE MUNICIPALITY,EASTERN DIVISION
Southern,Southern,7,3,1,4,NA,44,2022-11-05,2022-11-07,SVS,MUBENDE,MUBENDE MUNICIPALITY,SOUTHERN DIVISION
Western,Western,3,1,0,2,NA,44,2022-11-05,2022-11-07,SVS,MUBENDE,MUBENDE MUNICIPALITY,WESTERN DIVISION
NA,Kasambya,5,2,0,2,NA,44,2022-11-05,2022-11-07,SVS,MUBENDE,KASAMBYA,KASAMBYA
NA,Kiruuma,10,4,5,6,NA,44,2022-11-05,2022-11-07,SVS,MUBENDE,NA,KIRUUMA
NA,Kirwanyi,2,0,0,0,NA,44,2022-11-05,2022-11-07,SVS,MUBENDE,NA,KIRWANYI
NA,Kiyuni,3,3,0,0,NA,44,2022-11-05,2022-11-07,SVS,MUBENDE,BUWEKULA,KIYUNI
NA,Madudu,21,10,13,11,NA,44,2022-11-05,2022-11-07,SVS,MUBENDE,BUWEKULA,MADUDU
NA,Kibalinga,1,1,0,0,NA,44,2022-11-05,2022-11-07,SVS,MUBENDE,KASAMBYA,KIBALINGA
NA,Kitenga,1,0,0,1,NA,44,2022-11-05,2022-11-07,SVS,MUBENDE,BUWEKULA,KITENGA
NA,Busiro,1,0,0,1,NA,44,2022-11-05,2022-11-07,SVS,WAKISO,BUSIRO,NA
NA,Nansana,1,0,0,1,NA,44,2022-11-05,2022-11-07,SVS,WAKISO,NANSANA MUNICIPALITY,NANSANA DIVISION
