District,Sub.County,Confirmed.Cases,Confirmed.Deaths,Recoveries,Probable.Deaths,Probable.Cases,SitRep,Date,Date_Entered,Collector,DISTRICT,COUNTY,SUBCOUNTY
NA,Madudu,16,07,NA,13,NA,21,2022-10-10,2022-10-31 11:15:32,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022,MUBENDE,BUWEKULA,MADUDU
NA,Eastern,07,01,NA,00,NA,21,2022-10-10,2022-10-31 11:15:32,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022,MUBENDE,MUBENDE MUNICIPALITY,EASTERN DIVISION
NA,Southern,06,01,NA,00,NA,21,2022-10-10,2022-10-31 11:15:32,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022,MUBENDE,MUBENDE MUNICIPALITY,SOUTHERN DIVISION
NA,Bayeza,01,01,NA,01,NA,21,2022-10-10,2022-10-31 11:15:32,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022,MUBENDE,KASAMBYA,BAGEZZA
NA,Western,02,01,NA,00,NA,21,2022-10-10,2022-10-31 11:15:32,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022,MUBENDE,MUBENDE MUNICIPALITY,WESTERN DIVISION
NA,Kasambya,03,00,NA,00,NA,21,2022-10-10,2022-10-31 11:15:32,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022,MUBENDE,KASAMBYA,KASAMBYA
NA,Kibalinga,01,01,NA,00,NA,21,2022-10-10,2022-10-31 11:15:32,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022,MUBENDE,KASAMBYA,KIBALINGA
NA,Kiruuma,06,03,NA,05,NA,21,2022-10-10,2022-10-31 11:15:32,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022,MUBENDE,NA,KIRUUMA
NA,Kitenga,01,00,NA,00,NA,21,2022-10-10,2022-10-31 11:15:32,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022,MUBENDE,BUWEKULA,KITENGA
NA,Kiyuni,03,02,NA,00,NA,21,2022-10-10,2022-10-31 11:15:32,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022,MUBENDE,BUWEKULA,KIYUNI
Kyegegwa,Kasule,03,01,NA,00,NA,21,2022-10-10,2022-10-31 11:15:32,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022,KYEGEGWA,KYAKA,KASULE
NA,Kassanda,02,00,NA,01,NA,21,2022-10-10,2022-10-31 11:15:32,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022,KASSANDA,KASSANDA,KASSANDA
NA,Kalwana,01,00,NA,00,NA,21,2022-10-10,2022-10-31 11:15:32,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022,KASSANDA,KASSANDA,KALWANA
Kagadi,Kagadi TC,01,01,NA,00,NA,21,2022-10-10,2022-10-31 11:15:32,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022,KAGADI,BUYAGA,KAGADI
Bunyangabu,Rwimi TC,01,00,NA,00,NA,21,2022-10-10,2022-10-31 11:15:32,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022,BUNYANGABU,BUNYANGABU,RWIMI
