District,Sub.County,Confirmed.Cases,Confirmed.Deaths,Recoveries,Probable.Deaths,Probable.Cases,SitRep,Date,Date_Entered,Collector,DISTRICT,COUNTY,SUBCOUNTY
Bunyangabu,Rwimi TC,01,00,NA,NA,00,37,2022-10-27,2022-10-31 11:35:15,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022,BUNYANGABU,BUNYANGABU,RWIMI
Kagadi,Kagadi TC,01,01,NA,NA,00,37,2022-10-27,2022-10-31 11:35:15,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022,KAGADI,BUYAGA,KAGADI
NA,Kawempe,02,00,NA,NA,00,37,2022-10-27,2022-10-31 11:35:15,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022,KAMPALA,KCCA,KAWEMPE DIVISION
Kampala,Makindye,01,00,NA,NA,00,37,2022-10-27,2022-10-31 11:35:15,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022,KAMPALA,KCCA,MAKINDYE DIVISION
NA,Rubaga,14,01,NA,NA,00,37,2022-10-27,2022-10-31 11:35:15,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022,KAMPALA,KCCA,RUBAGA DIVISION
NA,Gomba,01,00,NA,NA,00,37,2022-10-27,2022-10-31 11:35:15,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022,GOMBA,GOMBA,NA
NA,Kalwana,20,00,NA,NA,00,37,2022-10-27,2022-10-31 11:35:15,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022,KASSANDA,KASSANDA,KALWANA
Kassanda,Kassanda,05,00,NA,NA,02,37,2022-10-27,2022-10-31 11:35:15,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022,KASSANDA,KASSANDA,KASSANDA
NA,Kiganda,02,00,NA,NA,00,37,2022-10-27,2022-10-31 11:35:15,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022,KASSANDA,KASSANDA,KIGANDA
NA,Kikandwa,05,02,NA,NA,00,37,2022-10-27,2022-10-31 11:35:15,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022,MITYANA,MITYANA,KIKANDWA
Kyegegwa,Kasule,03,01,NA,NA,00,37,2022-10-27,2022-10-31 11:35:15,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022,KYEGEGWA,KYAKA,KASULE
NA,Bagezza,02,02,NA,NA,00,37,2022-10-27,2022-10-31 11:35:15,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022,MUBENDE,KASAMBYA,BAGEZZA
NA,Butologo,01,01,NA,NA,00,37,2022-10-27,2022-10-31 11:35:15,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022,MUBENDE,BUWEKULA,BUTOLOOGO
Eastern,Eastern,08,01,NA,NA,00,37,2022-10-27,2022-10-31 11:35:15,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022,MUBENDE,MUBENDE MUNICIPALITY,EASTERN DIVISION
Southern,Southern,07,03,NA,NA,01,37,2022-10-27,2022-10-31 11:35:15,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022,MUBENDE,MUBENDE MUNICIPALITY,SOUTHERN DIVISION
Western,Western,03,01,NA,NA,00,37,2022-10-27,2022-10-31 11:35:15,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022,MUBENDE,MUBENDE MUNICIPALITY,WESTERN DIVISION
NA,Kasambya,05,01,NA,NA,00,37,2022-10-27,2022-10-31 11:35:15,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022,MUBENDE,KASAMBYA,KASAMBYA
Mubende,Kiruuma,10,04,NA,NA,05,37,2022-10-27,2022-10-31 11:35:15,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022,MUBENDE,NA,KIRUUMA
NA,Kirwanyi,01,00,NA,NA,00,37,2022-10-27,2022-10-31 11:35:15,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022,MUBENDE,NA,KIRWANYI
NA,Kiyuni,03,03,NA,NA,00,37,2022-10-27,2022-10-31 11:35:15,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022,MUBENDE,BUWEKULA,KIYUNI
NA,Madudu,21,10,NA,NA,13,37,2022-10-27,2022-10-31 11:35:15,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022,MUBENDE,BUWEKULA,MADUDU
NA,Kibalinga,01,01,NA,NA,00,37,2022-10-27,2022-10-31 11:35:15,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022,MUBENDE,KASAMBYA,KIBALINGA
NA,Kitenga,01,00,NA,NA,00,37,2022-10-27,2022-10-31 11:35:15,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022,MUBENDE,BUWEKULA,KITENGA
NA,Busiro,01,00,NA,NA,00,37,2022-10-27,2022-10-31 11:35:15,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022,WAKISO,BUSIRO,NA
Wakiso,Nansana,01,00,NA,NA,00,37,2022-10-27,2022-10-31 11:35:15,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022,WAKISO,NANSANA MUNICIPALITY,NANSANA DIVISION
